Categoria,Nombre,Ubicacion,Dimensiones,Tipo de archivo,Numero de Personas,Simulacion,Recortado,Comentarios
Clinico_valvula,0_0_0.jpg,Base/AFDB_masked_face_dataset/aidai/0_0_0.jpg,394x257,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_1.jpg,Base/AFDB_masked_face_dataset/aidai/0_0_1.jpg,197x130,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_5.jpg,Base/AFDB_masked_face_dataset/anhu/0_0_5.jpg,148x109,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-24 225329.png,Base/AFDB_masked_face_dataset/aoziyi/0_0_+∑ŒÛ 2020-02-24 225329.png,439x293,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-24 225352.png,Base/AFDB_masked_face_dataset/aoziyi/0_0_+∑ŒÛ 2020-02-24 225352.png,441x324,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-24 225408.png,Base/AFDB_masked_face_dataset/aoziyi/0_0_+∑ŒÛ 2020-02-24 225408.png,391x276,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-24 225427.png,Base/AFDB_masked_face_dataset/aoziyi/0_0_+∑ŒÛ 2020-02-24 225427.png,410x274,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/axin/0_0_0.jpg,243x223,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_4.jpg,Base/AFDB_masked_face_dataset/baijingting/0_0_4.jpg,203x167,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_9.jpg,Base/AFDB_masked_face_dataset/baijingting/0_0_9.jpg,157x109,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_0.jpg,Base/AFDB_masked_face_dataset/baike/0_0_0.jpg,283x168,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_27.jpg,Base/AFDB_masked_face_dataset/benxi/0_0_27.jpg,570x373,.jpg,Singular,Simulado,Recortado,.
Convencional,1_0_1.jpg,Base/AFDB_masked_face_dataset/caihancen/1_0_1.jpg,744x458,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_0_3.jpg,Base/AFDB_masked_face_dataset/caihancen/1_0_3.jpg,756x398,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_0.jpg,Base/AFDB_masked_face_dataset/caizhuoyan/0_0_0.jpg,179x127,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_0_14.jpg,Base/AFDB_masked_face_dataset/caizhuoyan/1_0_14.jpg,421x334,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_0_17.jpg,Base/AFDB_masked_face_dataset/caizhuoyan/1_0_17.jpg,321x242,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/caoying/0_0_0.jpg,155x121,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_1_0.jpg,Base/AFDB_masked_face_dataset/caoying/1_1_0.jpg,193x152,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/cengyongti/0_0_0.jpg,551x383,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-23 132400.png,Base/AFDB_masked_face_dataset/changyuan/0_0_+∑ŒÛ 2020-02-23 132400.png,359x244,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-23 132414.png,Base/AFDB_masked_face_dataset/changyuan/0_0_+∑ŒÛ 2020-02-23 132414.png,384x260,.png,Singular,NO_Simulado,Recortado,.
Convencional,0_0_13.jpg,Base/AFDB_masked_face_dataset/chenbailin/0_0_13.jpg,240x157,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_16.jpg,Base/AFDB_masked_face_dataset/chenbailin/0_0_16.jpg,154x105,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0066ichXly3gbb630i4w6j30u00tzjtk.jpg,Base/AFDB_masked_face_dataset/chendouling/0_0_0066ichXly3gbb630i4w6j30u00tzjtk.jpg,463x365,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/chenfarong/0_0_0.jpg,181x130,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_+∑ŒÛ 2020-02-24 172039.png,Base/AFDB_masked_face_dataset/chenglong/0_0_+∑ŒÛ 2020-02-24 172039.png,184x132,.png,Singular,NO_Simulado,Recortado,.
Convencional,1_1_0.jpg,Base/AFDB_masked_face_dataset/chenglong/1_1_0.jpg,224x192,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_1_18.jpg,Base/AFDB_masked_face_dataset/chenglong/1_1_18.jpg,169x185,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_2.jpg,Base/AFDB_masked_face_dataset/chenguanxi/0_0_2.jpg,157x110,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/chenhaomin/0_0_0.jpg,514x319,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_0.jpg,319x253,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_1.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_1.jpg,227x176,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,0_0_2.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_2.jpg,479x284,.jpg,Singular,Simulado,Recortado,.
Convencional,0_0_23.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_23.jpg,330x293,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_3.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_3.jpg,213x147,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_9.jpg,Base/AFDB_masked_face_dataset/chenhe/0_0_9.jpg,153x115,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_1_23.jpg,Base/AFDB_masked_face_dataset/chenhe/0_1_23.jpg,308x267,.jpg,Singular,NO_Simulado,Recortado,.
Clinico_valvula,0_0_§-»œ.png,Base/AFDB_masked_face_dataset/chenhuixian/0_0_§-»œ.png,277x184,.png,Singular,Simulado,Recortado,.
Convencional,0_0_0.jpg,Base/AFDB_masked_face_dataset/chenjiaqi/0_0_0.jpg,128x102,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_10.jpg,Base/AFDB_masked_face_dataset/chenkun/0_0_10.jpg,386x263,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_17.jpg,Base/AFDB_masked_face_dataset/chenkun/0_0_17.jpg,253x163,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,0_0_2.jpg,Base/AFDB_masked_face_dataset/chenkun/0_0_2.jpg,425x305,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,0_0_3.jpg,Base/AFDB_masked_face_dataset/chenkun/0_0_3.jpg,385x239,.jpg,Singular,NO_Simulado,Recortado,.
Clinico_valvula,0_0_48e8081fly1gbc1f5tts2j21d01tckjm.jpg,Base/AFDB_masked_face_dataset/chenlong/0_0_48e8081fly1gbc1f5tts2j21d01tckjm.jpg,698x532,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_18.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/0_0_18.jpg,154x123,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_20.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/0_0_20.jpg,246x160,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_3.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/0_0_3.jpg,192x131,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_5.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/0_0_5.jpg,159x109,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_0_15.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/1_0_15.jpg,317x242,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_27.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/1_0_27.jpg,217x149,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,1_0_29.jpg,Base/AFDB_masked_face_dataset/chenqiaoen/1_0_29.jpg,1606x1052,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_2.jpg,Base/AFDB_masked_face_dataset/chenweiting/0_0_2.jpg,121x106,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_6.jpg,Base/AFDB_masked_face_dataset/chenweiting/0_0_6.jpg,165x118,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_8.jpg,Base/AFDB_masked_face_dataset/chenweiting/0_0_8.jpg,315x250,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_1_26.jpg,Base/AFDB_masked_face_dataset/chenweiting/0_1_26.jpg,170x113,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_12.jpg,Base/AFDB_masked_face_dataset/chenweiting/1_0_12.jpg,228x156,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_15.jpg,Base/AFDB_masked_face_dataset/chenweiting/1_0_15.jpg,439x322,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,1_0_19.jpg,Base/AFDB_masked_face_dataset/chenweiting/1_0_19.jpg,149x113,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_9.jpg,Base/AFDB_masked_face_dataset/chenweiting/1_0_9.jpg,312x236,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,0_0_1.jpg,Base/AFDB_masked_face_dataset/chenxiang/0_0_1.jpg,488x299,.jpg,Singular,Simulado,Recortado,.
Convencional,0_0_4.jpg,Base/AFDB_masked_face_dataset/chenxiang/0_0_4.jpg,185x111,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_1_4.jpg,Base/AFDB_masked_face_dataset/chenxiang/0_1_4.jpg,193x110,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_10.jpg,Base/AFDB_masked_face_dataset/chenxinyu/0_0_10.jpg,141x104,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_7.jpg,Base/AFDB_masked_face_dataset/chenxinyu/0_0_7.jpg,273x186,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_1.jpg,Base/AFDB_masked_face_dataset/chenxuedong/0_0_1.jpg,164x115,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_2.jpg,Base/AFDB_masked_face_dataset/chenxuedong/0_0_2.jpg,198x127,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_3.jpg,Base/AFDB_masked_face_dataset/chenxuedong/0_0_3.jpg,206x149,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_4.jpg,Base/AFDB_masked_face_dataset/chenxuedong/0_0_4.jpg,182x124,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_32.jpg,Base/AFDB_masked_face_dataset/chenyanxi/0_0_32.jpg,149x120,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_38.jpg,Base/AFDB_masked_face_dataset/chenyanxi/0_0_38.jpg,181x132,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_8.jpg,Base/AFDB_masked_face_dataset/chenyanxi/0_0_8.jpg,171x143,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_9.jpg,Base/AFDB_masked_face_dataset/chenyanxi/0_0_9.jpg,157x127,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_13.jpg,Base/AFDB_masked_face_dataset/chenyanxi/1_0_13.jpg,177x125,.jpg,Singular,NO_Simulado,Recortado,.
Tela,1_0_24.jpg,Base/AFDB_masked_face_dataset/chenyao/1_0_24.jpg,120x104,.jpg,Singular,NO_Simulado,Recortado,.
Clinico_valvula,0_0_0.jpg,Base/AFDB_masked_face_dataset/chenyi/0_0_0.jpg,600x722,.jpg,Singular,NO_Simulado,Recortado,.
Tela,0_0_22.jpg,Base/AFDB_masked_face_dataset/chenzhipeng/0_0_22.jpg,405x336,.jpg,Singular,NO_Simulado,Recortado,.
Convencional,0_0_7.jpg,Base/AFDB_masked_face_dataset/cuishengxian/0_0_7.jpg,786x526,.jpg,Singular,NO_Simulado,Recortado,.
Clinico,0_0_0.jpg,Base/AFDB_masked_face_dataset/cuixiuying/0_0_0.jpg,1042x623,.jpg,Singular,NO_Simulado,Recortado,.
